category_group,category,name,description,new,type
Programming Languages & Frameworks,Rust Procedural Macros,Rust Proc-Macro Utilities,Libraries for constructing and generating Rust code in procedural macros using quasi‐quotation and token manipulation.,,horizontal
Programming Languages & Frameworks,Rust Libraries,Rust Zero-Copy Libraries,"A collection of Rust libraries that empower developers to perform zero‐cost memory manipulation safely and efficiently, eliminating the need for writing unsafe code.",,horizontal
Networking,SDN & Network Virtualization,SDN Controllers & Orchestrators,Centralized management platforms for software-defined networks and network function virtualization.,,horizontal
Security & Privacy,Security Information Management,SIEM & XDR Tools,"Platforms that provide Security Information and Event Management (SIEM) and Extended Detection and Response (XDR) capabilities for real‑time security monitoring, threat detection, and incident response across endpoints and cloud workloads.",,horizontal
Security & Privacy,Security Orchestration & Automation,SOAR Content Repositories,"Repositories hosting security playbooks, integrations, and automation content for Security Orchestration, Automation, and Response (SOAR) platforms.",,horizontal
Application Definition and Development,Databases,SQL Clients,"Cross‑platform desktop applications for connecting to, querying, and managing relational and non‑relational databases.",,horizontal
Application Definition and Development,Databases,SQL Gateways,"Gateways that provide serverless SQL access and multi-tenant query interfaces to data lakes, warehouses, and big data processing engines.",,horizontal
Application Definition and Development,Data Access & Persistence,SQL Query Builders,"Libraries for constructing, formatting, and executing SQL queries using fluent, type‐safe APIs.",,horizontal
Data Infrastructure & Analytics,Query Engines,SQL Query Engines,"Open-source distributed SQL query engines that enable interactive, high-performance analytic queries across heterogeneous data sources.",,horizontal
Application Definition and Development,Databases,SQL Query Libraries,A curated collection of reusable SQL view definitions and query scripts that accelerate analytics and data exploration on platforms like Dune.,,horizontal
Networking,Remote Access Libraries,SSH & SFTP Libraries,Libraries for implementing secure SSH connections and SFTP file transfers within applications.,,horizontal
Developer Tools,Asset Optimization Tools,SVG Optimization Tools,Tools for optimizing and minifying SVG files to reduce file size and improve performance in web applications.,,horizontal
Programming Languages & Frameworks,Language Compilers & Transpilers,SVG-to-React Converters,Tools for converting SVG files into React components to streamline the integration of scalable vector graphics into React applications.,,horizontal
Programming Languages & Frameworks,Serialization Libraries,Scala JSON Libraries,"Libraries for serializing and deserializing Scala objects to and from JSON, leveraging functional programming techniques and generic derivation.",,horizontal
Scientific Computing & Engineering,Scientific Computing,Scientific Computing Libraries,"Libraries for numerical and scientific computation, simulation, and advanced mathematical analysis.",,horizontal
Scientific Computing & Engineering,Scientific Visualization,Scientific Image Viewers,Interactive image viewers for exploring multi‐dimensional scientific image data with support for plugins and analysis – ideal for research applications in Python.,,horizontal
Application Definition and Development,Package Managers,Scoop Buckets,"Repositories hosting bucket manifests for Scoop, a command‐line package manager for Windows that enables easy installation of applications via defined buckets.",,horizontal
End‑User Applications,Accessibility Applications,Screen Readers,Open‑source screen reading software designed to improve computer accessibility for visually impaired users on desktop systems.,,horizontal
Programming Languages & Frameworks,Programming Languages,Scripting & Interpreted Languages,"High-level languages for rapid development and automation, such as Python and JavaScript.",,horizontal
Provisioning,Key Management,Secrets Management,"Tools for securely storing, accessing, and managing sensitive information",,horizontal
Security & Privacy,Privacy & Data Protection,Secure Computation & Privacy Libraries,Libraries for performing computations on sensitive data while preserving privacy.,,horizontal
